	CityName	Cloudiness	Country	Date	Humidity	Lat	Lng	MaxTemp	WindSpeed
0	Mahebourg	75.0	MU	1544374800	88	-20.41	57.7	78.8	8.05
1	Opotiki	0.0	NZ	1544377525	100	-38.01	177.29	62.42	3.69
2	Oranjestad	40.0	AW	1544374800	58	12.52	-70.03	84.2	23.04
3	Cumana	20.0	VE	1544377526	38	10.46	-64.17	87.76	4.14
4	Ngaoundere	0.0	CM	1544377526	41	7.32	13.58	72.5	8.61
5	Punta Arenas	0.0	CL	1544374800	66	-53.16	-70.91	59	23.04
7	Mataura	92.0	NZ	1544377527	89	-46.19	168.86	49.82	4.36
8	Finschhafen	76.0	PG	1544377527	97	-6.6	147.85	72.23	3.47
9	Honningsvag	90.0	NO	1544376000	86	70.98	25.97	30.2	3.36
10	Severo-Kurilsk	48.0	RU	1544377528	100	50.68	156.12	25.21	3.69
11	Puerto Ayora	75.0	EC	1544374800	57	-0.74	-90.35	80.6	8.05
12	Naze	48.0	NG	1544377530	97	5.43	7.07	74.53	6.6
13	Tuktoyaktuk	90.0	CA	1544374800	84	69.44	-133.03	5	9.17
14	Bombay	90.0	US	1544375700	79	44.94	-74.57	30.92	21.92
15	Selikhino	68.0	RU	1544377531	79	50.37	137.51	-12.24	2.91
16	Russell	0.0	AR	1544377532	48	-33.01	-68.8	74.17	3.47
17	Lagoa	0.0	PT	1544374800	63	37.14	-8.45	64.4	2.24
18	Saint-Francois	75.0	FR	1544374800	76	46.42	3.91	50	16.11
19	Katangli	44.0	RU	1544377533	95	51.71	143.23	21.7	24.94
20	Tiarei	90.0	PF	1544376600	69	-17.53	-149.33	82.4	10.29
21	Acapulco	20.0	MX	1544373840	62	16.86	-99.88	84.2	2.24
22	Busselton	0.0	AU	1544377535	100	-33.64	115.35	64.81	20.24
23	Copiapo	0.0	CL	1544374800	38	-27.37	-70.33	75.2	9.17
25	Port Alfred	92.0	ZA	1544377535	94	-33.59	26.89	66.79	9.62
26	Tuatapere	88.0	NZ	1544377536	100	-46.13	167.69	49.28	4.59
28	Thessalon	90.0	CA	1544375700	80	46.26	-83.55	28.76	6.93
29	Nikolskoye	40.0	RU	1544376600	86	59.7	30.79	30.2	13.42
